season,team_abbr,team_id,conference,division,source,coverage_trusted
2024-25,ATL,1610612737,East,Southeast,manual_current_nba_alignment_2026-05-17,true
2024-25,BKN,1610612751,East,Atlantic,manual_current_nba_alignment_2026-05-17,true
2024-25,BOS,1610612738,East,Atlantic,manual_current_nba_alignment_2026-05-17,true
2024-25,CHA,1610612766,East,Southeast,manual_current_nba_alignment_2026-05-17,true
2024-25,CHI,1610612741,East,Central,manual_current_nba_alignment_2026-05-17,true
2024-25,CLE,1610612739,East,Central,manual_current_nba_alignment_2026-05-17,true
2024-25,DET,1610612765,East,Central,manual_current_nba_alignment_2026-05-17,true
2024-25,IND,1610612754,East,Central,manual_current_nba_alignment_2026-05-17,true
2024-25,MIA,1610612748,East,Southeast,manual_current_nba_alignment_2026-05-17,true
2024-25,MIL,1610612749,East,Central,manual_current_nba_alignment_2026-05-17,true
2024-25,NYK,1610612752,East,Atlantic,manual_current_nba_alignment_2026-05-17,true
2024-25,ORL,1610612753,East,Southeast,manual_current_nba_alignment_2026-05-17,true
2024-25,PHI,1610612755,East,Atlantic,manual_current_nba_alignment_2026-05-17,true
2024-25,TOR,1610612761,East,Atlantic,manual_current_nba_alignment_2026-05-17,true
2024-25,WAS,1610612764,East,Southeast,manual_current_nba_alignment_2026-05-17,true
2024-25,DAL,1610612742,West,Southwest,manual_current_nba_alignment_2026-05-17,true
2024-25,DEN,1610612743,West,Northwest,manual_current_nba_alignment_2026-05-17,true
2024-25,GSW,1610612744,West,Pacific,manual_current_nba_alignment_2026-05-17,true
2024-25,HOU,1610612745,West,Southwest,manual_current_nba_alignment_2026-05-17,true
2024-25,LAC,1610612746,West,Pacific,manual_current_nba_alignment_2026-05-17,true
2024-25,LAL,1610612747,West,Pacific,manual_current_nba_alignment_2026-05-17,true
2024-25,MEM,1610612763,West,Southwest,manual_current_nba_alignment_2026-05-17,true
2024-25,MIN,1610612750,West,Northwest,manual_current_nba_alignment_2026-05-17,true
2024-25,NOP,1610612740,West,Southwest,manual_current_nba_alignment_2026-05-17,true
2024-25,OKC,1610612760,West,Northwest,manual_current_nba_alignment_2026-05-17,true
2024-25,PHX,1610612756,West,Pacific,manual_current_nba_alignment_2026-05-17,true
2024-25,POR,1610612757,West,Northwest,manual_current_nba_alignment_2026-05-17,true
2024-25,SAC,1610612758,West,Pacific,manual_current_nba_alignment_2026-05-17,true
2024-25,SAS,1610612759,West,Southwest,manual_current_nba_alignment_2026-05-17,true
2024-25,UTA,1610612762,West,Northwest,manual_current_nba_alignment_2026-05-17,true
2025-26,ATL,1610612737,East,Southeast,manual_current_nba_alignment_2026-05-17,true
2025-26,BKN,1610612751,East,Atlantic,manual_current_nba_alignment_2026-05-17,true
2025-26,BOS,1610612738,East,Atlantic,manual_current_nba_alignment_2026-05-17,true
2025-26,CHA,1610612766,East,Southeast,manual_current_nba_alignment_2026-05-17,true
2025-26,CHI,1610612741,East,Central,manual_current_nba_alignment_2026-05-17,true
2025-26,CLE,1610612739,East,Central,manual_current_nba_alignment_2026-05-17,true
2025-26,DET,1610612765,East,Central,manual_current_nba_alignment_2026-05-17,true
2025-26,IND,1610612754,East,Central,manual_current_nba_alignment_2026-05-17,true
2025-26,MIA,1610612748,East,Southeast,manual_current_nba_alignment_2026-05-17,true
2025-26,MIL,1610612749,East,Central,manual_current_nba_alignment_2026-05-17,true
2025-26,NYK,1610612752,East,Atlantic,manual_current_nba_alignment_2026-05-17,true
2025-26,ORL,1610612753,East,Southeast,manual_current_nba_alignment_2026-05-17,true
2025-26,PHI,1610612755,East,Atlantic,manual_current_nba_alignment_2026-05-17,true
2025-26,TOR,1610612761,East,Atlantic,manual_current_nba_alignment_2026-05-17,true
2025-26,WAS,1610612764,East,Southeast,manual_current_nba_alignment_2026-05-17,true
2025-26,DAL,1610612742,West,Southwest,manual_current_nba_alignment_2026-05-17,true
2025-26,DEN,1610612743,West,Northwest,manual_current_nba_alignment_2026-05-17,true
2025-26,GSW,1610612744,West,Pacific,manual_current_nba_alignment_2026-05-17,true
2025-26,HOU,1610612745,West,Southwest,manual_current_nba_alignment_2026-05-17,true
2025-26,LAC,1610612746,West,Pacific,manual_current_nba_alignment_2026-05-17,true
2025-26,LAL,1610612747,West,Pacific,manual_current_nba_alignment_2026-05-17,true
2025-26,MEM,1610612763,West,Southwest,manual_current_nba_alignment_2026-05-17,true
2025-26,MIN,1610612750,West,Northwest,manual_current_nba_alignment_2026-05-17,true
2025-26,NOP,1610612740,West,Southwest,manual_current_nba_alignment_2026-05-17,true
2025-26,OKC,1610612760,West,Northwest,manual_current_nba_alignment_2026-05-17,true
2025-26,PHX,1610612756,West,Pacific,manual_current_nba_alignment_2026-05-17,true
2025-26,POR,1610612757,West,Northwest,manual_current_nba_alignment_2026-05-17,true
2025-26,SAC,1610612758,West,Pacific,manual_current_nba_alignment_2026-05-17,true
2025-26,SAS,1610612759,West,Southwest,manual_current_nba_alignment_2026-05-17,true
2025-26,UTA,1610612762,West,Northwest,manual_current_nba_alignment_2026-05-17,true
